repeat,episode_id,step_idx,task,hit_type,top_score,cp1_collect_ms,cp1_gate_ms,cp1_build_ms,cp1_search_ms,cp1_judge_ms,cp1_fetch_ms,cp1_total_ms,warm_start_action_approx,action_history_approx_active
0,0,0,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998871,0.006344,0.003473,0.516001,35.372368,0.017164,0.008286,36.076914,0,0
0,0,1,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998866,0.006307,0.002621,0.691256,33.305724,0.015919,0.007677,34.154460,0,0
0,0,2,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998863,0.008103,0.002790,1.014829,34.797586,0.015454,0.007677,35.969024,0,0
0,0,3,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998860,0.005923,0.002317,0.441559,34.583645,0.023895,0.009875,35.191480,0,0
0,0,4,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998831,0.005938,0.002262,0.456643,34.828361,0.015921,0.007755,35.431241,0,0
0,0,5,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998808,0.005543,0.002335,0.407874,34.179933,0.016313,0.007783,34.737833,0,0
0,0,6,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998796,0.005697,0.002240,0.308659,34.071855,0.015044,0.008036,34.539195,0,0
0,0,7,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998818,0.007662,0.002728,0.346074,32.970749,0.014493,0.009836,33.474635,0,0
0,0,8,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998785,0.004612,0.002369,0.327337,33.097770,0.013006,0.006739,33.552288,0,0
0,0,9,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998727,0.004626,0.002061,0.382837,32.830564,0.012889,0.007149,33.341345,0,0
0,0,10,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998693,0.004286,0.002456,0.437402,33.022099,0.013520,0.006768,33.591353,0,0
0,0,11,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998600,0.004805,0.002491,0.405527,32.904339,0.013071,0.007019,33.440442,0,0
0,0,12,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998636,0.004698,0.002172,0.412029,32.701567,0.014810,0.006877,33.249319,0,0
0,0,13,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998673,0.004857,0.002356,0.381822,33.983831,0.013298,0.006758,34.496964,0,0
0,0,14,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998716,0.004523,0.002205,0.404712,33.390684,0.012883,0.006534,33.922947,0,0
0,0,15,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998733,0.004399,0.002160,0.380973,68.876739,0.012491,0.006188,69.386057,0,0
0,0,16,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998484,0.005347,0.002654,10.022051,52.191075,0.012552,0.007228,62.371645,0,0
0,0,17,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998463,0.005309,0.002410,0.418362,36.844212,0.011466,0.005911,37.383853,0,0
0,0,18,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998466,0.004442,0.002455,0.355633,35.204912,0.013154,0.006612,35.708889,0,0
0,0,19,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998458,0.004803,0.002657,0.334129,33.748923,0.010789,0.006144,34.206418,0,0
0,0,20,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998457,0.004865,0.002708,0.378235,33.646088,0.011139,0.005854,34.149996,0,0
0,0,21,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998454,0.004510,0.002136,0.317373,34.337010,0.010910,0.005394,34.772221,0,0
0,0,22,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998442,0.005070,0.001979,0.375003,34.096601,0.011118,0.005416,34.596166,0,0
0,0,23,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998443,0.004368,0.002192,0.318894,33.320422,0.011338,0.005909,33.771233,0,0
0,0,24,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998437,0.004470,0.002664,0.318537,33.444792,0.017939,0.005852,33.893173,0,0
0,0,25,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998453,0.004812,0.002167,0.325276,34.882639,0.011102,0.005468,35.330642,0,0
0,0,26,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998442,0.004990,0.002332,0.323508,35.779416,0.010295,0.005993,36.234884,0,0
0,0,27,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998483,0.005028,0.002022,0.321336,33.655745,0.010826,0.005645,34.111713,0,0
0,0,28,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998483,0.004376,0.002242,0.317662,33.990053,0.012056,0.006815,34.432284,0,0
0,0,29,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998495,0.004998,0.002334,0.327567,33.482812,0.012633,0.006420,33.944602,0,0
