repeat,episode_id,step_idx,task,hit_type,top_score,cp1_collect_ms,cp1_gate_ms,cp1_build_ms,cp1_search_ms,cp1_judge_ms,cp1_fetch_ms,cp1_total_ms,warm_start_action_approx,action_history_approx_active
0,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.988939,0.005098,0.002731,0.494148,1.370710,0.018012,0.005578,2.026947,0,0
0,0,1,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.988598,0.004580,0.001679,0.324901,0.908669,0.009344,0.003975,1.332851,0,0
0,0,2,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.988414,0.004235,0.001751,0.305065,0.814160,0.018833,0.003936,1.223440,0,0
0,0,3,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.988411,0.004195,0.001668,0.302312,0.756396,0.009753,0.003589,1.148321,0,0
0,0,4,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.988483,0.004054,0.001734,0.302149,0.752287,0.008721,0.003529,1.146463,0,0
0,0,5,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.988221,0.003770,0.001688,0.294708,0.745107,0.008928,0.003478,1.130311,0,0
0,0,6,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.988195,0.004155,0.001637,0.308370,0.753552,0.008366,0.003347,1.153624,0,0
0,0,7,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.988451,0.005031,0.001736,0.293160,0.748313,0.008888,0.004989,1.144754,0,0
0,0,8,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.981982,0.003809,0.001717,0.310647,0.725433,0.007653,0.002877,1.128805,0,0
0,0,9,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.976959,0.003656,0.001763,0.291686,0.735672,0.007236,0.003026,1.108119,0,0
0,0,10,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.987679,0.003861,0.002000,0.306287,0.730248,0.007458,0.002969,1.117903,0,0
0,0,11,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.987717,0.003667,0.001769,0.291231,0.733994,0.007300,0.003179,1.105821,0,0
0,0,12,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.987860,0.003583,0.001609,0.304237,0.716738,0.007454,0.003119,1.112172,0,0
0,0,13,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.987593,0.003565,0.001567,0.291097,0.730681,0.007305,0.003266,1.103680,0,0
0,0,14,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.987273,0.003757,0.001622,0.322079,0.736918,0.007357,0.003047,1.141351,0,0
0,0,15,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.987050,0.003936,0.002112,0.330724,0.757638,0.008197,0.003011,1.172396,0,0
0,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.986863,0.003861,0.001572,0.326593,0.897405,0.008492,0.003089,1.314600,0,0
0,0,1,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.985364,0.004124,0.001671,0.338239,0.825659,0.008415,0.003096,1.274781,0,0
0,0,2,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.984887,0.003823,0.001771,0.302596,0.798729,0.008725,0.003124,1.185927,0,0
