repeat,episode_id,step_idx,task,hit_type,top_score,cp1_collect_ms,cp1_gate_ms,cp1_build_ms,cp1_search_ms,cp1_judge_ms,cp1_fetch_ms,cp1_total_ms,warm_start_action_approx,action_history_approx_active
0,0,0,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998871,0.006376,0.002795,0.898053,7.736739,0.016808,0.009684,8.817255,0,0
0,0,1,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998866,0.005355,0.001991,0.338097,5.902241,0.014590,0.007085,6.382670,0,0
0,0,2,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998863,0.005291,0.002082,1.127169,8.303814,0.015328,0.008396,9.602123,0,0
0,0,3,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998860,0.005933,0.002151,0.353374,6.399541,0.016001,0.007657,6.904569,0,0
0,0,4,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998831,0.005657,0.002670,0.373158,5.870761,0.012592,0.006564,6.381600,0,0
0,0,5,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998808,0.005066,0.002156,0.333873,5.513005,0.017683,0.007676,5.999119,0,0
0,0,6,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998796,0.005468,0.002108,0.425810,6.532029,0.012683,0.007523,7.099210,0,0
0,0,7,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998818,0.008371,0.002643,0.860781,7.174309,0.013887,0.008365,8.229422,0,0
0,0,8,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998785,0.007139,0.003269,0.661561,7.499228,0.012649,0.006002,8.346554,0,0
0,0,9,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998727,0.005155,0.002151,0.719987,6.618117,0.012782,0.005249,7.500936,0,0
0,0,10,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998693,0.006342,0.002752,0.720171,6.712081,0.010897,0.004788,7.577934,0,0
0,0,11,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998600,0.005346,0.002281,0.765336,6.012580,0.011590,0.004805,6.925691,0,0
0,0,12,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998636,0.005532,0.002169,0.470555,7.431626,0.011727,0.005582,8.043301,0,0
0,0,13,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998673,0.005137,0.002277,0.418933,6.096707,0.014250,0.006864,6.659264,0,0
0,0,14,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998716,0.005208,0.002112,0.574402,5.990527,0.010075,0.004930,6.700722,0,0
0,0,15,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998733,0.005582,0.002114,0.357173,5.006557,0.011246,0.004361,5.483722,0,0
0,0,16,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998468,0.005063,0.001902,0.412067,6.172277,0.011401,0.004877,6.708797,0,0
0,0,17,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998463,0.005119,0.002172,0.485219,6.697612,0.011334,0.005334,7.315436,0,0
0,0,18,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998466,0.005734,0.002314,0.379406,5.168271,0.010921,0.004384,5.679776,0,0
0,0,19,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998458,0.005439,0.002399,0.363387,5.778717,0.010437,0.004780,6.271597,0,0
0,0,20,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998457,0.005170,0.002138,0.371606,6.793806,0.011504,0.005302,7.294358,0,0
0,0,21,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998454,0.004891,0.002245,0.365122,5.117264,0.010417,0.003819,5.603071,0,0
0,0,22,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998442,0.005315,0.002759,0.621685,7.781964,0.011621,0.004671,8.553211,0,0
0,0,23,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998443,0.006196,0.002587,0.604188,7.020612,0.010726,0.005316,7.774688,0,0
0,0,24,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998437,0.005137,0.002415,0.508876,6.859835,0.012985,0.005011,7.502786,0,0
0,0,25,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998453,0.005581,0.002655,0.440111,7.609990,0.014702,0.006550,8.201884,0,0
0,0,26,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998442,0.005318,0.002405,0.413131,6.719821,0.011543,0.004422,7.268045,0,0
0,0,27,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998483,0.005741,0.002280,0.548394,6.791020,0.011373,0.352513,7.866613,0,0
0,0,28,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998483,0.005831,0.001998,0.811967,7.363030,0.010963,0.004692,8.369696,0,0
0,0,29,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998495,0.004988,0.001947,0.432591,5.796232,0.012240,0.004764,6.362261,0,0
