repeat,episode_id,step_idx,task,hit_type,top_score,cp1_collect_ms,cp1_gate_ms,cp1_build_ms,cp1_search_ms,cp1_judge_ms,cp1_fetch_ms,cp1_total_ms,warm_start_action_approx,action_history_approx_active
0,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.988939,0.007188,0.003132,0.627783,11.288859,0.073594,0.009968,12.180552,0,0
0,0,1,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.988598,0.006607,0.002297,0.627503,10.704228,0.016510,0.006848,11.489860,0,0
0,0,2,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.988414,0.006456,0.002048,0.448009,8.745822,0.013686,0.006952,9.341056,0,0
0,0,3,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.988411,0.007900,0.002332,0.531828,11.399923,0.015282,0.006885,12.086693,0,0
0,0,4,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.988483,0.007474,0.001970,0.456823,9.836357,0.015475,0.006823,10.457919,0,0
0,0,5,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.988221,0.006063,0.002645,0.511647,8.832895,0.014609,0.006383,9.490024,0,0
0,0,6,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.988195,0.006763,0.002411,0.465610,9.453358,0.013353,0.006197,10.062382,0,0
0,0,7,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.988451,0.008303,0.002667,0.459387,9.797107,0.012914,0.006356,10.406870,0,0
0,0,8,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.986259,0.004731,0.002091,0.332793,8.374555,0.012387,0.004964,8.829258,0,0
0,0,9,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.985199,0.008076,0.002553,0.438408,11.008374,0.012165,0.005354,11.623123,0,0
0,0,10,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.987679,0.005397,0.001988,0.563497,9.879136,0.012855,0.005006,10.581408,0,0
0,0,11,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.987717,0.005846,0.002234,0.473300,8.806818,0.011163,0.004689,9.410468,0,0
0,0,12,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.987860,0.008440,0.002996,1.191896,9.193071,0.011499,0.005819,10.564713,0,0
0,0,13,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.987593,0.005233,0.001845,0.447390,8.531774,0.012722,0.005519,9.111387,0,0
0,0,14,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.987273,0.005250,0.002198,0.360182,8.004749,0.010962,0.006326,8.507755,0,0
0,0,15,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.987050,0.005453,0.002162,0.352947,7.971515,0.011121,0.004472,8.451996,0,0
0,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.988147,0.006255,0.002085,0.453138,8.270260,0.012206,0.004556,8.854070,0,0
0,0,1,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.988324,0.005540,0.002014,0.337701,9.056860,0.012926,0.005376,9.522338,0,0
0,0,2,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.987961,0.005127,0.002071,0.314685,10.540228,0.011910,0.004842,10.977088,0,0
0,0,3,pick up the black bowl between the plate and the ramekin and place it on the plate,FULL_HIT,0.987732,0.005551,0.001997,0.449893,9.146042,0.012710,0.005023,9.752116,0,0
