repeat,episode_id,step_idx,task,hit_type,top_score,cp1_collect_ms,cp1_gate_ms,cp1_build_ms,cp1_search_ms,cp1_judge_ms,cp1_fetch_ms,cp1_total_ms,warm_start_action_approx,action_history_approx_active
0,0,0,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998871,0.004231,0.002301,3.176120,8.419266,0.014291,0.008524,11.756494,0,0
0,0,1,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998866,0.005960,0.001999,0.470026,1.000674,0.010078,0.003800,1.591242,0,0
0,0,2,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998863,0.004889,0.001846,0.520141,1.139928,0.010429,0.004230,1.773402,0,0
0,0,3,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998860,0.004038,0.001982,0.485193,0.979271,0.009453,0.003552,1.568949,0,0
0,0,4,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998831,0.004958,0.001811,0.333979,0.915938,0.007909,0.004184,1.352666,0,0
0,0,5,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998808,0.004727,0.001624,0.366764,1.023515,0.008908,0.003785,1.495371,0,0
0,0,6,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998796,0.004594,0.001729,0.601624,1.179285,0.011546,0.005218,1.925897,0,0
0,0,7,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998819,0.004963,0.002010,0.327631,0.888501,0.009371,0.005066,1.330346,0,0
0,0,8,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998785,0.004736,0.002242,0.470927,1.187749,0.010192,0.003594,1.771214,0,0
0,0,9,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998727,0.003960,0.001969,0.337333,1.559562,0.009478,0.003420,2.001602,0,0
0,0,10,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998693,0.004454,0.002005,0.458771,1.143263,0.008805,0.003781,1.705749,0,0
0,0,11,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998600,0.004605,0.002189,0.421223,1.161778,0.009260,0.003816,1.693979,0,0
0,0,12,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998636,0.003964,0.001961,0.634907,0.947904,0.007568,0.003344,1.681263,0,0
0,0,13,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998673,0.005148,0.002332,0.615867,1.921446,0.026258,0.006177,2.812631,0,0
0,0,14,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998716,0.004775,0.001680,0.371450,1.025851,0.009574,0.003326,1.499394,0,0
0,0,15,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998733,0.003971,0.001645,0.367186,0.926585,0.008171,0.003275,1.394157,0,0
0,0,16,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998468,0.003910,0.001940,0.331204,0.908079,0.006990,0.002601,1.328001,0,0
0,0,17,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998463,0.004072,0.002147,0.353035,0.939875,0.007104,0.003358,1.384953,0,0
0,0,18,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998466,0.003981,0.001784,0.338485,0.975717,0.007624,0.003506,1.407031,0,0
0,0,19,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998458,0.004593,0.001785,0.539027,1.099506,0.008119,0.002796,1.745643,0,0
0,0,20,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998457,0.005827,0.002281,0.606064,1.798307,0.013575,0.005353,2.552544,0,0
0,0,21,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998454,0.003947,0.001683,0.372356,1.155762,0.008813,0.003050,1.629524,0,0
0,0,22,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998442,0.004238,0.001745,0.424251,0.937078,0.008055,0.003077,1.458498,0,0
0,0,23,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998443,0.004037,0.001836,0.404810,1.194353,0.010717,0.003451,1.708754,0,0
0,0,24,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998437,0.005040,0.002025,0.532025,1.130681,0.009747,0.002979,1.769305,0,0
0,0,25,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998453,0.003671,0.001678,0.458906,0.949186,0.008575,0.003250,1.502004,0,0
0,0,26,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998442,0.003755,0.001718,0.328057,1.257586,0.008592,0.003653,1.683367,0,0
0,0,27,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998483,0.003367,0.001688,0.378994,1.012375,0.008030,0.002548,1.488776,0,0
0,0,28,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998483,0.004272,0.001741,0.421972,1.093361,0.008569,0.003177,1.618804,0,0
0,0,29,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998495,0.003789,0.001920,0.367956,1.030878,0.009623,0.003414,1.498552,0,0
0,0,30,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998476,0.005350,0.002564,0.775314,1.257389,0.009238,0.004508,2.157311,0,0
0,0,31,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998478,0.003796,0.001885,0.404505,1.218058,0.010051,0.003828,1.729401,0,0
0,0,32,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998491,0.004629,0.001747,0.453082,1.352785,0.010339,0.003888,1.921511,0,0
0,0,33,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998504,0.004141,0.001925,0.399678,1.194209,0.008845,0.003310,1.709968,0,0
0,0,34,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998489,0.004129,0.001767,0.402862,1.060244,0.008216,0.003309,1.567120,0,0
0,0,35,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998374,0.003887,0.001818,0.774373,1.135621,0.008825,0.002895,2.009293,0,0
0,0,36,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998723,0.004273,0.001827,0.308778,0.936080,0.007826,0.002718,1.334122,0,0
0,0,37,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998721,0.005340,0.002751,0.726904,1.933874,0.013911,0.005756,2.827083,0,0
0,0,38,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998716,0.004678,0.001793,0.528128,1.305394,0.015119,0.005689,1.977582,0,0
0,0,39,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998693,0.005155,0.002456,0.474855,1.340316,0.012543,0.004190,1.938301,0,0
0,0,40,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998648,0.006936,0.003338,0.406029,1.025166,0.008978,0.003516,1.560757,0,0
0,0,41,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998618,0.003789,0.001708,0.430394,1.040192,0.007698,0.002788,1.567756,0,0
0,0,42,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998658,0.004766,0.001587,0.482357,1.136178,0.010008,0.003344,1.727329,0,0
0,0,43,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998663,0.005169,0.001826,0.515532,1.182769,0.009572,0.003535,1.807453,0,0
0,0,44,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998656,0.004493,0.002149,0.448119,1.158901,0.009623,0.003584,1.733603,0,0
0,0,45,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998594,0.004596,0.001993,0.511971,1.188155,0.011513,0.004227,1.822171,0,0
0,0,46,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998630,0.004818,0.002239,0.529005,1.249622,0.009320,0.003619,1.898621,0,0
0,0,47,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998514,0.003920,0.001555,0.441780,1.058162,0.009656,0.003578,1.606399,0,0
0,0,48,put both the alphabet soup and the tomato sauce in the basket,FULL_HIT,0.998265,0.005220,0.002320,0.420260,1.123509,0.010309,0.003540,1.656912,0,0
