suite,task_id,trajectory_id,length,outcome
libero_spatial,0,task_0/episode_0,16,success
libero_spatial,0,task_0/episode_1,17,success
libero_spatial,0,task_0/episode_10,44,failure
libero_spatial,0,task_0/episode_11,17,success
libero_spatial,0,task_0/episode_12,18,success
libero_spatial,0,task_0/episode_13,16,success
libero_spatial,0,task_0/episode_14,15,success
libero_spatial,0,task_0/episode_15,14,success
libero_spatial,0,task_0/episode_16,14,success
libero_spatial,0,task_0/episode_18,14,success
libero_spatial,0,task_0/episode_19,18,success
libero_spatial,0,task_0/episode_2,18,success
libero_spatial,0,task_0/episode_20,30,success
libero_spatial,0,task_0/episode_21,16,success
libero_spatial,0,task_0/episode_22,15,success
libero_spatial,0,task_0/episode_23,16,success
libero_spatial,0,task_0/episode_24,15,success
libero_spatial,0,task_0/episode_25,16,success
libero_spatial,0,task_0/episode_26,14,success
libero_spatial,0,task_0/episode_27,16,success
libero_spatial,0,task_0/episode_28,21,success
libero_spatial,0,task_0/episode_29,16,success
libero_spatial,0,task_0/episode_3,19,success
libero_spatial,0,task_0/episode_30,15,success
libero_spatial,0,task_0/episode_31,15,success
libero_spatial,0,task_0/episode_33,16,success
libero_spatial,0,task_0/episode_35,16,success
libero_spatial,0,task_0/episode_36,15,success
libero_spatial,0,task_0/episode_38,44,failure
libero_spatial,0,task_0/episode_39,16,success
libero_spatial,0,task_0/episode_4,17,success
libero_spatial,0,task_0/episode_40,14,success
libero_spatial,0,task_0/episode_41,15,success
libero_spatial,0,task_0/episode_42,16,success
libero_spatial,0,task_0/episode_43,14,success
libero_spatial,0,task_0/episode_44,18,success
libero_spatial,0,task_0/episode_45,14,success
libero_spatial,0,task_0/episode_46,15,success
libero_spatial,0,task_0/episode_47,16,success
libero_spatial,0,task_0/episode_48,16,success
libero_spatial,0,task_0/episode_49,16,success
libero_spatial,0,task_0/episode_5,44,failure
libero_spatial,0,task_0/episode_6,13,success
libero_spatial,0,task_0/episode_7,44,failure
libero_spatial,0,task_0/episode_8,17,success
libero_spatial,1,task_1/episode_0,22,success
libero_spatial,1,task_1/episode_1,23,success
libero_spatial,1,task_1/episode_10,21,success
libero_spatial,1,task_1/episode_11,23,success
libero_spatial,1,task_1/episode_12,21,success
libero_spatial,1,task_1/episode_13,23,success
libero_spatial,1,task_1/episode_14,23,success
libero_spatial,1,task_1/episode_15,22,success
libero_spatial,1,task_1/episode_16,21,success
libero_spatial,1,task_1/episode_17,22,success
libero_spatial,1,task_1/episode_18,22,success
libero_spatial,1,task_1/episode_19,21,success
libero_spatial,1,task_1/episode_2,21,success
libero_spatial,1,task_1/episode_20,31,success
libero_spatial,1,task_1/episode_21,23,success
libero_spatial,1,task_1/episode_22,22,success
libero_spatial,1,task_1/episode_23,23,success
libero_spatial,1,task_1/episode_25,22,success
libero_spatial,1,task_1/episode_27,23,success
libero_spatial,1,task_1/episode_28,22,success
libero_spatial,1,task_1/episode_29,22,success
libero_spatial,1,task_1/episode_3,24,success
libero_spatial,1,task_1/episode_30,23,success
libero_spatial,1,task_1/episode_31,21,success
libero_spatial,1,task_1/episode_32,24,success
libero_spatial,1,task_1/episode_33,22,success
libero_spatial,1,task_1/episode_34,23,success
