yaml_id,base_depth,f_FH_target,f_WS_target,inf_ratio,success_rate_pct,n_eval,n_FH,n_WS,n_MISS
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh80_ws10_quantile,1,0.8,0.1,0.3377,60.0,7609,4876,654,2079
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh70_ws20_quantile,1,0.7,0.2,0.364,58.0,7548,4538,1050,1960
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh80_ws5_quantile,1,0.8,0.05,0.3709,63.0,7402,4538,475,2389
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh60_ws20_quantile,1,0.6,0.2,0.4002,64.0,7465,4224,1015,2226
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh50_ws40_quantile,1,0.5,0.4,0.409,64.0,7259,3865,1699,1695
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh60_ws30_quantile,1,0.6,0.3,0.4161,74.0,6860,3509,1985,1366
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh60_ws5_quantile,1,0.6,0.05,0.4222,61.0,7404,4218,241,2945
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh50_ws20_quantile,1,0.5,0.2,0.4229,68.0,7229,3972,800,2457
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh70_ws5_quantile,1,0.7,0.05,0.4251,68.0,7166,4051,276,2839
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh70_ws10_quantile,1,0.7,0.1,0.438,66.0,7173,3846,742,2585
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh40_ws30_quantile,1,0.4,0.3,0.451,73.0,7120,3614,1180,2326
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh60_ws10_quantile,1,0.6,0.1,0.463,68.0,6905,3548,639,2718
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh40_ws5_quantile,1,0.4,0.05,0.4877,69.0,7213,3645,200,3368
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh40_ws10_quantile,1,0.4,0.1,0.493,65.0,7317,3626,336,3355
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh30_ws40_quantile,1,0.3,0.4,0.4976,66.0,7129,3186,1582,2361
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh30_ws20_quantile,1,0.3,0.2,0.4985,71.0,6960,3310,721,2929
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh50_ws30_quantile,1,0.5,0.3,0.4998,73.0,6870,2983,1813,2074
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh40_ws40_quantile,1,0.4,0.4,0.5125,83.0,6305,2513,2243,1549
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh50_ws5_quantile,1,0.5,0.05,0.5185,80.0,6663,3129,316,3218
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh25_ws30_quantile,1,0.25,0.3,0.5188,71.0,7009,3086,1148,2775
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh50_ws10_quantile,1,0.5,0.1,0.5277,76.0,6711,3019,603,3089
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh25_ws10_quantile,1,0.25,0.1,0.5439,71.0,6970,3078,405,3487
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh20_ws40_quantile,1,0.2,0.4,0.546,70.0,6950,2740,1660,2550
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh20_ws20_quantile,1,0.2,0.2,0.5525,76.0,6700,2769,917,3014
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh25_ws5_quantile,1,0.25,0.05,0.5623,68.0,7011,3012,227,3772
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh15_ws30_quantile,1,0.15,0.3,0.5687,74.0,6694,2546,1364,2784
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh40_ws20_quantile,1,0.4,0.2,0.57,78.0,6499,2554,963,2982
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh10_ws40_quantile,1,0.1,0.4,0.5839,76.0,6442,2185,1983,2274
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh30_ws30_quantile,1,0.3,0.3,0.5845,79.0,6341,2256,1515,2570
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh10_ws20_quantile,1,0.1,0.2,0.6173,76.0,6583,2209,1240,3134
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh25_ws40_quantile,1,0.25,0.4,0.6245,83.0,6321,1874,1998,2449
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh30_ws10_quantile,1,0.3,0.1,0.6294,85.0,6126,2135,542,3449
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh15_ws10_quantile,1,0.15,0.1,0.6298,73.0,6841,2398,537,3906
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh15_ws5_quantile,1,0.15,0.05,0.643,75.0,6683,2314,286,4083
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh5_ws30_quantile,1,0.05,0.3,0.6475,76.0,6517,1816,1925,2776
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh30_ws5_quantile,1,0.3,0.05,0.6508,84.0,6222,2103,280,3839
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh25_ws20_quantile,1,0.25,0.2,0.6603,83.0,6307,1901,965,3441
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh20_ws30_quantile,1,0.2,0.3,0.6856,85.0,6054,1469,1737,2848
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh5_ws10_quantile,1,0.05,0.1,0.7112,79.0,6320,1655,680,3985
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh15_ws40_quantile,1,0.15,0.4,0.7269,84.0,6150,1088,2366,2696
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh5_ws5_quantile,1,0.05,0.05,0.7285,80.0,6314,1649,262,4403
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh20_ws10_quantile,1,0.2,0.1,0.7308,90.0,6000,1462,612,3926
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh20_ws5_quantile,1,0.2,0.05,0.745,85.0,6150,1474,377,4299
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh15_ws20_quantile,1,0.15,0.2,0.7749,86.0,5959,1092,998,3869
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh10_ws30_quantile,1,0.1,0.3,0.7869,92.0,5698,775,1758,3165
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh5_ws40_quantile,1,0.05,0.4,0.8319,93.0,5742,399,2264,3079
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh10_ws10_quantile,1,0.1,0.1,0.838,91.0,5712,778,589,4345
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh10_ws5_quantile,1,0.1,0.05,0.8681,88.0,5953,714,285,4954
