yaml_id,base_depth,f_FH_target,f_WS_target,inf_ratio,success_rate_pct,n_eval,n_FH,n_WS,n_MISS
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh75_ws15_quantile,1,0.75,0.15,0.2367,87.0,2561,1898,227,436
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh75_ws10_quantile,1,0.75,0.1,0.24,95.0,2546,1893,168,485
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh80_ws5_quantile,1,0.8,0.05,0.2577,90.0,2678,1962,103,613
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh80_ws10_quantile,1,0.8,0.1,0.2641,88.0,2743,1966,210,567
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh70_ws15_quantile,1,0.7,0.15,0.27,88.0,2596,1856,156,584
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh75_ws5_quantile,1,0.75,0.05,0.2712,91.0,2627,1899,62,666
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh60_ws20_quantile,1,0.6,0.2,0.2832,91.0,2529,1763,199,567
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh70_ws20_quantile,1,0.7,0.2,0.2943,90.0,2627,1745,435,447
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh65_ws20_quantile,1,0.65,0.2,0.2981,95.0,2541,1689,378,474
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh65_ws15_quantile,1,0.65,0.15,0.2986,85.0,2652,1824,144,684
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh70_ws10_quantile,1,0.7,0.1,0.3044,92.0,2585,1753,180,652
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh70_ws5_quantile,1,0.7,0.05,0.3194,90.0,2629,1759,121,749
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh50_ws30_quantile,1,0.5,0.3,0.3238,89.0,2546,1646,302,598
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh55_ws15_quantile,1,0.55,0.15,0.3261,89.0,2554,1690,125,739
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh60_ws30_quantile,1,0.6,0.3,0.3263,92.0,2541,1549,651,341
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh45_ws5_quantile,1,0.45,0.05,0.3292,94.0,2457,1635,53,769
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh65_ws10_quantile,1,0.65,0.1,0.3316,91.0,2583,1682,178,723
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh60_ws15_quantile,1,0.6,0.15,0.3364,93.0,2504,1597,259,648
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh60_ws10_quantile,1,0.6,0.1,0.3459,93.0,2513,1603,163,747
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh40_ws30_quantile,1,0.4,0.3,0.3525,90.0,2505,1554,272,679
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh30_ws30_quantile,1,0.3,0.3,0.3531,95.0,2425,1504,259,662
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh65_ws5_quantile,1,0.65,0.05,0.3536,89.0,2590,1660,57,873
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh45_ws15_quantile,1,0.45,0.15,0.3573,89.0,2519,1585,136,798
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh55_ws30_quantile,1,0.55,0.3,0.3591,92.0,2527,1477,570,480
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh25_ws15_quantile,1,0.25,0.15,0.3651,94.0,2395,1494,106,795
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh60_ws5_quantile,1,0.6,0.05,0.3713,93.0,2551,1585,75,891
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh55_ws20_quantile,1,0.55,0.2,0.3725,89.0,2574,1539,305,730
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh50_ws40_quantile,1,0.5,0.4,0.3732,92.0,2505,1359,845,301
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh55_ws10_quantile,1,0.55,0.1,0.3831,93.0,2463,1477,170,816
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh35_ws15_quantile,1,0.35,0.15,0.3868,90.0,2513,1509,128,876
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh35_ws5_quantile,1,0.35,0.05,0.3872,91.0,2495,1521,32,942
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh45_ws40_quantile,1,0.45,0.4,0.3911,91.0,2482,1316,781,385
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh20_ws30_quantile,1,0.2,0.3,0.3946,94.0,2431,1413,235,783
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh45_ws30_quantile,1,0.45,0.3,0.399,95.0,2413,1318,529,566
