cfg,gate_type,param_slug,p_inference,seed,cache_len,inference_len,episodes,success_rate,mean_inference_ratio,inference_ratio_source
clip_w7_d4,periodic,periodic_k10_n1,,,10,1,500,0.716,0.07379324431216519,derived
clip_w7_d4,periodic,periodic_k10_n10,,,10,10,500,0.892,0.4206545217031412,derived
clip_w7_d4,periodic,periodic_k10_n2,,,10,2,500,0.756,0.13952134686613746,derived
clip_w7_d4,periodic,periodic_k10_n3,,,10,3,500,0.762,0.17937500851242336,derived
clip_w7_d4,periodic,periodic_k10_n5,,,10,5,500,0.804,0.2703437061953362,derived
clip_w7_d4,periodic,periodic_k1_n1,,,1,1,500,0.938,0.48704393621334136,derived
clip_w7_d4,periodic,periodic_k1_n10,,,1,10,500,0.978,0.8872285172087209,derived
clip_w7_d4,periodic,periodic_k1_n2,,,1,2,500,0.952,0.6506825973339871,derived
clip_w7_d4,periodic,periodic_k1_n3,,,1,3,500,0.98,0.7309634172263764,derived
clip_w7_d4,periodic,periodic_k1_n5,,,1,5,500,0.968,0.8131812759320949,derived
clip_w7_d4,periodic,periodic_k2_n1,,,2,1,500,0.864,0.31750268986376073,derived
clip_w7_d4,periodic,periodic_k2_n10,,,2,10,500,0.972,0.7947410967366944,derived
clip_w7_d4,periodic,periodic_k2_n2,,,2,2,500,0.932,0.4756434150689036,derived
clip_w7_d4,periodic,periodic_k2_n3,,,2,3,500,0.938,0.5747900043998977,derived
clip_w7_d4,periodic,periodic_k2_n5,,,2,5,500,0.97,0.6812670301628755,derived
clip_w7_d4,periodic,periodic_k5_n1,,,5,1,500,0.816,0.15155940602471657,derived
clip_w7_d4,periodic,periodic_k5_n10,,,5,10,500,0.948,0.5740318062432257,derived
clip_w7_d4,periodic,periodic_k5_n2,,,5,2,500,0.852,0.2557394300160221,derived
clip_w7_d4,periodic,periodic_k5_n3,,,5,3,500,0.92,0.3403258711220788,derived
clip_w7_d4,periodic,periodic_k5_n5,,,5,5,500,0.918,0.4437781364477792,derived
clip_w7_d4,random,random_p0p05,0.05,"0,1,2",,,1500,0.7326666666666667,0.05,expected
clip_w7_d4,random,random_p0p10,0.1,"0,1,2",,,1500,0.6506666666666666,0.1,expected
