label,threshold,cross_only,kept,removed,removed_pct,deleted_same_trajectory_pct,mean_pair_remaining_saved,pair_action_rmse,pair_gripper_disagreement_pct,retained_with_dangling_links,array_bytes_total
cross_0.9995,0.9995,True,2640,0,0.0,0.0,0.0,0.0,0.0,0,1093847040
cross_0.999,0.999,True,2640,0,0.0,0.0,0.0,0.0,0.0,0,1093847040
cross_0.9985,0.9985,True,2510,130,4.924242424242424,0.0,3.7615384615384615,0.10662749409675598,2.307692307692308,58,1093847040
cross_0.998,0.998,True,2028,612,23.18181818181818,0.0,4.893790849673203,0.1372520625591278,3.300653594771242,186,1093847040
cross_0.9975,0.9975,True,1705,935,35.41666666666667,0.0,4.4941176470588236,0.14957693219184875,4.149732620320855,196,1093847040
cross_0.997,0.997,True,1529,1111,42.083333333333336,0.0,4.7794779477947795,0.15294165909290314,4.086408640864087,204,1093847040
cross_0.996,0.996,True,1255,1385,52.46212121212122,0.0,5.246931407942238,0.16678814589977264,4.996389891696751,223,1093847040
cross_0.995,0.995,True,1108,1532,58.03030303030303,0.0,5.465404699738904,0.17936553061008453,6.005221932114883,226,1093847040
cross_0.9925,0.9925,True,870,1770,67.04545454545455,0.0,6.263841807909604,0.18523205816745758,5.367231638418079,197,1093847040
cross_0.99,0.99,True,759,1881,71.25,0.0,6.644869750132908,0.19583314657211304,6.145667198298777,166,1093847040
cross_0.985,0.985,True,647,1993,75.49242424242424,0.0,7.15253386853989,0.20356594026088715,6.392373306573005,139,1093847040
cross_0.98,0.98,True,612,2028,76.81818181818181,0.0,7.162721893491124,0.2081553190946579,6.646942800788954,111,1093847040
cross_0.975,0.975,True,576,2064,78.18181818181819,0.0,7.448158914728682,0.21690993010997772,7.403100775193798,115,1093847040
cross_0.97,0.97,True,550,2090,79.16666666666666,0.0,7.630622009569378,0.22445343434810638,7.856459330143541,108,1093847040
cross_0.95,0.95,True,483,2157,81.70454545454545,0.0,8.08066759388039,0.2385631650686264,8.669448307834957,124,1093847040
cross_0.9,0.9,True,394,2246,85.07575757575758,0.0,8.8780053428317,0.27709054946899414,11.816562778272484,114,1093847040
