label,arm,original_hit_decisions,removed_winner_decisions,affected_pct
cross_0.9995,rit_l10_hg_ir20,25023,0,0.0
cross_0.9995,rit_l10_hg_ir25,24404,0,0.0
cross_0.9995,rit_l10_hg_ir30,25445,0,0.0
cross_0.9995,rit_l10_hg_ir35,25604,0,0.0
cross_0.9995,rit_l10_hg_ir40,25634,0,0.0
cross_0.9995,rit_l10_hg_ir45,25908,0,0.0
cross_0.9995,rit_l10_hg_ir50,26132,0,0.0
cross_0.9995,rit_l10_hg_ir55,26395,0,0.0
cross_0.9995,rit_l10_hg_ir60,26379,0,0.0
cross_0.9995,rit_l10_hg_ir65,26382,0,0.0
cross_0.9995,rit_l10_hg_ir70,27372,0,0.0
cross_0.9995,rit_l10_hg_ir75,25697,0,0.0
cross_0.9995,rit_l10_hg_ir80,22181,0,0.0
cross_0.9995,rit_l10_hg_ir85,18062,0,0.0
cross_0.9995,rit_l10_hg_ir90,13337,0,0.0
cross_0.9995,rit_l10_hg_ir95,6880,0,0.0
cross_0.999,rit_l10_hg_ir20,25023,0,0.0
cross_0.999,rit_l10_hg_ir25,24404,0,0.0
cross_0.999,rit_l10_hg_ir30,25445,0,0.0
cross_0.999,rit_l10_hg_ir35,25604,0,0.0
cross_0.999,rit_l10_hg_ir40,25634,0,0.0
cross_0.999,rit_l10_hg_ir45,25908,0,0.0
cross_0.999,rit_l10_hg_ir50,26132,0,0.0
cross_0.999,rit_l10_hg_ir55,26395,0,0.0
cross_0.999,rit_l10_hg_ir60,26379,0,0.0
cross_0.999,rit_l10_hg_ir65,26382,0,0.0
cross_0.999,rit_l10_hg_ir70,27372,0,0.0
cross_0.999,rit_l10_hg_ir75,25697,0,0.0
cross_0.999,rit_l10_hg_ir80,22181,0,0.0
cross_0.999,rit_l10_hg_ir85,18062,0,0.0
cross_0.999,rit_l10_hg_ir90,13337,0,0.0
cross_0.999,rit_l10_hg_ir95,6880,0,0.0
cross_0.9985,rit_l10_hg_ir20,25023,1410,5.634815969308236
cross_0.9985,rit_l10_hg_ir25,24404,1279,5.240944107523357
cross_0.9985,rit_l10_hg_ir30,25445,1316,5.171939477303989
