trajectory_id,task,points
episode_0003_20260421_145442_230258,put both the alphabet soup and the tomato sauce in the basket,59
episode_0004_20260421_145514_975870,put both the alphabet soup and the tomato sauce in the basket,54
episode_0000_20260421_145256_951882,put both the alphabet soup and the tomato sauce in the basket,58
episode_0002_20260421_145406_965462,put both the alphabet soup and the tomato sauce in the basket,55
episode_0001_20260421_145332_810413,put both the alphabet soup and the tomato sauce in the basket,58
episode_0004_20260421_154909_939096,turn on the stove and put the moka pot on it,50
episode_0006_20260421_145620_818834,put both the cream cheese box and the butter in the basket,48
episode_0005_20260421_145548_769987,put both the cream cheese box and the butter in the basket,50
episode_0007_20260421_145652_045135,put both the cream cheese box and the butter in the basket,46
episode_0008_20260421_145723_705415,put both the cream cheese box and the butter in the basket,48
episode_0010_20260421_154931_315472,pick up the book and place it in the back compartment of the caddy,33
episode_0009_20260421_145756_420411,put both the cream cheese box and the butter in the basket,49
episode_0012_20260421_154958_870693,put the white mug on the plate and put the chocolate pudding to the right of the plate,46
episode_0011_20260421_150015_983808,turn on the stove and put the moka pot on it,51
episode_0012_20260421_150109_113391,turn on the stove and put the moka pot on it,61
episode_0013_20260421_150147_027824,turn on the stove and put the moka pot on it,46
episode_0015_20260421_150306_477081,put the black bowl in the bottom drawer of the cabinet and close it,42
episode_0014_20260421_155029_148974,put both the alphabet soup and the cream cheese box in the basket,51
episode_0014_20260421_150234_937358,turn on the stove and put the moka pot on it,60
episode_0015_20260421_155056_818708,put both the alphabet soup and the cream cheese box in the basket,47
episode_0016_20260421_150341_358525,put the black bowl in the bottom drawer of the cabinet and close it,55
episode_0017_20260421_150415_357328,put the black bowl in the bottom drawer of the cabinet and close it,46
episode_0016_20260421_155154_891362,put both moka pots on the stove,74
episode_0019_20260421_150552_473180,put the black bowl in the bottom drawer of the cabinet and close it,55
episode_0018_20260421_150514_387668,put the black bowl in the bottom drawer of the cabinet and close it,101
episode_0020_20260421_150623_961895,put the white mug on the left plate and put the yellow and white mug on the right plate,46
episode_0018_20260421_155250_742134,put the yellow and white mug in the microwave and close it,81
episode_0021_20260421_150651_911856,put the white mug on the left plate and put the yellow and white mug on the right plate,45
episode_0022_20260421_150717_548811,put the white mug on the left plate and put the yellow and white mug on the right plate,43
episode_0024_20260421_150808_433812,put the white mug on the left plate and put the yellow and white mug on the right plate,42
episode_0025_20260421_150833_216666,pick up the book and place it in the back compartment of the caddy,35
episode_0023_20260421_150743_357926,put the white mug on the left plate and put the yellow and white mug on the right plate,44
episode_0026_20260421_150856_396048,pick up the book and place it in the back compartment of the caddy,36
episode_0027_20260421_150917_326437,pick up the book and place it in the back compartment of the caddy,31
episode_0029_20260421_151037_202698,pick up the book and place it in the back compartment of the caddy,31
episode_0030_20260421_151104_740343,put the white mug on the plate and put the chocolate pudding to the right of the plate,47
episode_0032_20260421_151156_252142,put the white mug on the plate and put the chocolate pudding to the right of the plate,44
episode_0031_20260421_151130_944018,put the white mug on the plate and put the chocolate pudding to the right of the plate,47
episode_0034_20260421_151316_981830,put the white mug on the plate and put the chocolate pudding to the right of the plate,40
episode_0035_20260421_151345_521435,put both the alphabet soup and the cream cheese box in the basket,49
episode_0038_20260421_151615_368946,put both the alphabet soup and the cream cheese box in the basket,55
episode_0039_20260421_151648_760002,put both the alphabet soup and the cream cheese box in the basket,56
episode_0040_20260421_151756_437258,put both moka pots on the stove,75
episode_0041_20260421_151903_896858,put both moka pots on the stove,75
episode_0045_20260421_152322_258450,put the yellow and white mug in the microwave and close it,50
episode_0042_20260421_152010_071054,put both moka pots on the stove,83
episode_0046_20260421_152356_583015,put the yellow and white mug in the microwave and close it,51
episode_0044_20260421_152242_971237,put both moka pots on the stove,92
episode_0047_20260421_152429_961806,put the yellow and white mug in the microwave and close it,48
episode_0049_20260421_152610_845700,put the yellow and white mug in the microwave and close it,51
