label,arm,original_hit_decisions,removed_winner_decisions,affected_pct
cross_0.989,rit_sp_hg_ir20,8859,0,0.0
cross_0.989,rit_sp_hg_ir25,8775,0,0.0
cross_0.989,rit_sp_hg_ir30,8861,0,0.0
cross_0.989,rit_sp_hg_ir35,8960,0,0.0
cross_0.989,rit_sp_hg_ir40,9022,0,0.0
cross_0.989,rit_sp_hg_ir45,9209,0,0.0
cross_0.989,rit_sp_hg_ir50,9201,0,0.0
cross_0.989,rit_sp_hg_ir55,9325,0,0.0
cross_0.989,rit_sp_hg_ir60,9262,0,0.0
cross_0.989,rit_sp_hg_ir65,9443,0,0.0
cross_0.989,rit_sp_hg_ir70,9538,0,0.0
cross_0.989,rit_sp_hg_ir75,9132,0,0.0
cross_0.989,rit_sp_hg_ir80,7906,0,0.0
cross_0.989,rit_sp_hg_ir85,6438,0,0.0
cross_0.989,rit_sp_hg_ir90,4449,0,0.0
cross_0.989,rit_sp_hg_ir95,2452,0,0.0
cross_0.987,rit_sp_hg_ir20,8859,199,2.2463031944914778
cross_0.987,rit_sp_hg_ir25,8775,199,2.2678062678062676
cross_0.987,rit_sp_hg_ir30,8861,202,2.279652409434601
cross_0.987,rit_sp_hg_ir35,8960,202,2.2544642857142856
cross_0.987,rit_sp_hg_ir40,9022,203,2.2500554200842386
cross_0.987,rit_sp_hg_ir45,9209,203,2.2043652948202843
cross_0.987,rit_sp_hg_ir50,9201,202,2.1954135420063037
cross_0.987,rit_sp_hg_ir55,9325,221,2.3699731903485253
cross_0.987,rit_sp_hg_ir60,9262,225,2.429280932843878
cross_0.987,rit_sp_hg_ir65,9443,240,2.5415651805570265
cross_0.987,rit_sp_hg_ir70,9538,234,2.4533445166701613
cross_0.987,rit_sp_hg_ir75,9132,238,2.6062198861147614
cross_0.987,rit_sp_hg_ir80,7906,237,2.9977232481659497
cross_0.987,rit_sp_hg_ir85,6438,233,3.6191363777570675
cross_0.987,rit_sp_hg_ir90,4449,199,4.472915261856597
cross_0.987,rit_sp_hg_ir95,2452,133,5.424143556280587
cross_0.985,rit_sp_hg_ir20,8859,1318,14.877525680099334
cross_0.985,rit_sp_hg_ir25,8775,1312,14.951566951566951
cross_0.985,rit_sp_hg_ir30,8861,1353,15.269156980024828
cross_0.985,rit_sp_hg_ir35,8960,1290,14.397321428571429
cross_0.985,rit_sp_hg_ir40,9022,1317,14.597650188428286
cross_0.985,rit_sp_hg_ir45,9209,1317,14.301227060484308
cross_0.985,rit_sp_hg_ir50,9201,1324,14.389740245625475
cross_0.985,rit_sp_hg_ir55,9325,1368,14.67024128686327
cross_0.985,rit_sp_hg_ir60,9262,1392,15.029151371194127
