label,repeat,query_id,ms
cross_0.98,0,episode_0028_20260410_011829_055003:11,1.415284
cross_0.98,0,episode_0030_20260410_011910_031319:17,1.69597
cross_0.98,0,episode_0035_20260410_012102_164484:16,1.425354
cross_0.98,0,episode_0005_20260410_011022_801344:10,1.405951
cross_0.98,0,episode_0037_20260410_012148_210072:14,0.983079
cross_0.98,0,episode_0023_20260410_011629_901435:0,1.330324
cross_0.98,0,episode_0006_20260410_011042_393597:19,0.877643
cross_0.98,0,episode_0045_20260410_012503_265735:3,1.235853
cross_0.98,0,episode_0016_20260410_011401_521914:1,1.309334
cross_0.98,0,episode_0035_20260410_012102_164484:21,1.16084
cross_0.98,0,episode_0041_20260410_012346_185785:5,1.102094
cross_0.98,0,episode_0041_20260410_012346_185785:6,0.905588
cross_0.98,0,episode_0041_20260410_012346_185785:9,0.677105
cross_0.98,0,episode_0035_20260410_012102_164484:12,1.002559
cross_0.98,0,episode_0000_20260410_013433_002633:2,1.003743
cross_0.98,0,episode_0028_20260410_011829_055003:5,0.733701
cross_0.98,0,episode_0015_20260410_011344_869409:8,0.783084
cross_0.98,0,episode_0043_20260410_012421_441671:14,0.979025
cross_0.98,0,episode_0023_20260410_011629_901435:9,1.021674
cross_0.98,0,episode_0016_20260410_011401_521914:2,0.782153
cross_0.98,0,episode_0010_20260410_011209_792025:20,0.937269
cross_0.98,0,episode_0024_20260410_011654_131430:11,0.890865
cross_0.98,0,episode_0019_20260410_011451_488353:14,0.796617
cross_0.98,0,episode_0046_20260410_012526_676266:19,0.916617
cross_0.98,0,episode_0026_20260410_011732_851293:10,0.795419
cross_0.98,0,episode_0047_20260410_012550_633036:8,0.925051
cross_0.98,0,episode_0029_20260410_011847_472194:12,0.771064
cross_0.98,0,episode_0004_20260410_011001_080633:1,0.893485
cross_0.98,0,episode_0017_20260410_011417_292749:11,0.748497
cross_0.98,0,episode_0038_20260410_012213_950266:23,1.279084
cross_0.98,0,episode_0028_20260410_011829_055003:14,0.932268
cross_0.98,0,episode_0046_20260410_012526_676266:24,1.071314
cross_0.98,0,episode_0039_20260410_012242_511766:23,1.395198
cross_0.98,0,episode_0009_20260410_011147_027725:15,1.236554
cross_0.98,0,episode_0019_20260410_011451_488353:0,1.645608
cross_0.98,0,episode_0005_20260410_011022_801344:18,1.291618
cross_0.98,0,episode_0023_20260410_011629_901435:1,0.956472
