trajectory_id,task,points
episode_0004_20260410_011001_080633,pick up the black bowl between the plate and the ramekin and place it on the plate,14
episode_0003_20260410_010946_600378,pick up the black bowl between the plate and the ramekin and place it on the plate,16
episode_0000_20260410_013433_002633,pick up the black bowl between the plate and the ramekin and place it on the plate,16
episode_0017_20260410_011417_292749,pick up the black bowl on the cookie box and place it on the plate,17
episode_0018_20260410_011434_257190,pick up the black bowl on the cookie box and place it on the plate,17
episode_0015_20260410_011344_869409,pick up the black bowl on the cookie box and place it on the plate,17
episode_0019_20260410_011451_488353,pick up the black bowl on the cookie box and place it on the plate,17
episode_0002_20260410_010929_991358,pick up the black bowl between the plate and the ramekin and place it on the plate,17
episode_0016_20260410_011401_521914,pick up the black bowl on the cookie box and place it on the plate,17
episode_0001_20260410_010833_643988,pick up the black bowl between the plate and the ramekin and place it on the plate,17
episode_0012_20260410_011247_049104,pick up the black bowl from table center and place it on the plate,19
episode_0013_20260410_011306_565253,pick up the black bowl from table center and place it on the plate,19
episode_0014_20260410_011325_518817,pick up the black bowl from table center and place it on the plate,19
episode_0011_20260410_011228_856135,pick up the black bowl from table center and place it on the plate,20
episode_0010_20260410_011209_792025,pick up the black bowl from table center and place it on the plate,21
episode_0006_20260410_011042_393597,pick up the black bowl next to the ramekin and place it on the plate,21
episode_0009_20260410_011147_027725,pick up the black bowl next to the ramekin and place it on the plate,22
episode_0008_20260410_011125_742216,pick up the black bowl next to the ramekin and place it on the plate,22
episode_0005_20260410_011022_801344,pick up the black bowl next to the ramekin and place it on the plate,23
episode_0007_20260410_011103_871596,pick up the black bowl next to the ramekin and place it on the plate,24
episode_0025_20260410_011714_535001,pick up the black bowl on the ramekin and place it on the plate,19
episode_0029_20260410_011847_472194,pick up the black bowl on the ramekin and place it on the plate,18
episode_0027_20260410_013453_070393,pick up the black bowl on the ramekin and place it on the plate,18
episode_0028_20260410_011829_055003,pick up the black bowl on the ramekin and place it on the plate,19
episode_0026_20260410_011732_851293,pick up the black bowl on the ramekin and place it on the plate,19
episode_0022_20260410_011605_263672,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,23
episode_0020_20260410_011517_357608,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,24
episode_0030_20260410_011910_031319,pick up the black bowl next to the cookie box and place it on the plate,21
episode_0034_20260410_012039_100030,pick up the black bowl next to the cookie box and place it on the plate,20
episode_0033_20260410_012019_825828,pick up the black bowl next to the cookie box and place it on the plate,21
episode_0021_20260410_011542_077616,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,25
episode_0031_20260410_011933_301436,pick up the black bowl next to the cookie box and place it on the plate,24
episode_0024_20260410_011654_131430,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,26
episode_0023_20260410_011629_901435,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,27
episode_0035_20260410_012102_164484,pick up the black bowl on the stove and place it on the plate,23
episode_0032_20260410_011958_314386,pick up the black bowl next to the cookie box and place it on the plate,25
episode_0036_20260410_012124_203616,pick up the black bowl on the stove and place it on the plate,23
episode_0037_20260410_012148_210072,pick up the black bowl on the stove and place it on the plate,25
episode_0038_20260410_012213_950266,pick up the black bowl on the stove and place it on the plate,26
episode_0039_20260410_012242_511766,pick up the black bowl on the stove and place it on the plate,27
episode_0042_20260410_012403_121411,pick up the black bowl next to the plate and place it on the plate,17
episode_0041_20260410_012346_185785,pick up the black bowl next to the plate and place it on the plate,19
episode_0043_20260410_012421_441671,pick up the black bowl next to the plate and place it on the plate,19
episode_0044_20260410_012440_275668,pick up the black bowl next to the plate and place it on the plate,19
episode_0045_20260410_012503_265735,pick up the black bowl on the wooden cabinet and place it on the plate,23
episode_0048_20260410_012613_367191,pick up the black bowl on the wooden cabinet and place it on the plate,23
episode_0049_20260410_012633_991054,pick up the black bowl on the wooden cabinet and place it on the plate,21
episode_0046_20260410_012526_676266,pick up the black bowl on the wooden cabinet and place it on the plate,25
episode_0047_20260410_012550_633036,pick up the black bowl on the wooden cabinet and place it on the plate,24
