arm,task,init_idx,env_seed,lane,pin_id,layout,style,success,root,task_uid,journal,journal_line
full,CloseBlenderLid,0,2000000,main,,1,1,0,rc_macro13,sdiag-full-main-a5c2af002014__l1s1_pi05__CloseBlenderLid:eval:0:0,exp/step_diag/data/rc_macro13/pi05/full/journal_sdiag-full-main-a5c2af002014__l1s1_pi05.jsonl,2
full,CloseBlenderLid,1,2000001,main,,1,1,0,rc_macro13,sdiag-full-main-a5c2af002014__l1s1_pi05__CloseBlenderLid:eval:0:1,exp/step_diag/data/rc_macro13/pi05/full/journal_sdiag-full-main-a5c2af002014__l1s1_pi05.jsonl,5
full,CloseBlenderLid,2,2000002,main,,1,1,0,rc_macro13,sdiag-full-main-a5c2af002014__l1s1_pi05__CloseBlenderLid:eval:0:2,exp/step_diag/data/rc_macro13/pi05/full/journal_sdiag-full-main-a5c2af002014__l1s1_pi05.jsonl,8
full,CloseBlenderLid,3,2000003,main,,1,1,0,rc_macro13,sdiag-full-main-a5c2af002014__l1s1_pi05__CloseBlenderLid:eval:0:3,exp/step_diag/data/rc_macro13/pi05/full/journal_sdiag-full-main-a5c2af002014__l1s1_pi05.jsonl,11
full,CloseBlenderLid,4,2000004,main,,1,1,0,rc_macro13,sdiag-full-main-a5c2af002014__l1s1_pi05__CloseBlenderLid:eval:0:4,exp/step_diag/data/rc_macro13/pi05/full/journal_sdiag-full-main-a5c2af002014__l1s1_pi05.jsonl,14
full,CloseBlenderLid,5,2000005,main,,1,1,0,rc_macro13,sdiag-full-main-a5c2af002014__l1s1_pi05__CloseBlenderLid:eval:0:5,exp/step_diag/data/rc_macro13/pi05/full/journal_sdiag-full-main-a5c2af002014__l1s1_pi05.jsonl,18
full,CloseBlenderLid,6,2000006,main,,1,1,0,rc_macro13,sdiag-full-main-a5c2af002014__l1s1_pi05__CloseBlenderLid:eval:0:6,exp/step_diag/data/rc_macro13/pi05/full/journal_sdiag-full-main-a5c2af002014__l1s1_pi05.jsonl,21
full,CloseBlenderLid,7,2000007,main,,1,1,1,rc_macro13,sdiag-full-main-a5c2af002014__l1s1_pi05__CloseBlenderLid:eval:0:7,exp/step_diag/data/rc_macro13/pi05/full/journal_sdiag-full-main-a5c2af002014__l1s1_pi05.jsonl,23
full,CloseBlenderLid,8,2000008,main,,1,1,0,rc_macro13,sdiag-full-main-a5c2af002014__l1s1_pi05__CloseBlenderLid:eval:0:8,exp/step_diag/data/rc_macro13/pi05/full/journal_sdiag-full-main-a5c2af002014__l1s1_pi05.jsonl,26
full,CloseBlenderLid,9,2000009,main,,1,1,1,rc_macro13,sdiag-full-main-a5c2af002014__l1s1_pi05__CloseBlenderLid:eval:0:9,exp/step_diag/data/rc_macro13/pi05/full/journal_sdiag-full-main-a5c2af002014__l1s1_pi05.jsonl,29
