comparison,task,arm,T,N,successes,episodes,success_rate
fixed_N2,CloseBlenderLid,warmreset_t0.2,0.2,2,17,50,0.34
fixed_N2,CloseBlenderLid,resetfinal_t0.2,0,2,17,50,0.34
fixed_N2,CloseFridge,warmreset_t0.2,0.2,2,25,50,0.5
fixed_N2,CloseFridge,resetfinal_t0.2,0,2,38,50,0.76
fixed_N2,CoffeeSetupMug,warmreset_t0.2,0.2,2,21,50,0.42
fixed_N2,CoffeeSetupMug,resetfinal_t0.2,0,2,24,50,0.48
fixed_N2,OpenCabinet,warmreset_t0.2,0.2,2,45,50,0.9
fixed_N2,OpenCabinet,resetfinal_t0.2,0,2,43,50,0.86
fixed_N2,OpenDrawer,warmreset_t0.2,0.2,2,44,50,0.88
fixed_N2,OpenDrawer,resetfinal_t0.2,0,2,41,50,0.82
fixed_N2,OpenStandMixerHead,warmreset_t0.2,0.2,2,36,50,0.72
fixed_N2,OpenStandMixerHead,resetfinal_t0.2,0,2,34,50,0.68
fixed_N2,PickPlaceCounterToCabinet,warmreset_t0.2,0.2,2,34,50,0.68
fixed_N2,PickPlaceCounterToCabinet,resetfinal_t0.2,0,2,32,50,0.64
fixed_N2,PickPlaceCounterToStove,warmreset_t0.2,0.2,2,41,50,0.82
fixed_N2,PickPlaceCounterToStove,resetfinal_t0.2,0,2,36,50,0.72
fixed_N2,PickPlaceDrawerToCounter,warmreset_t0.2,0.2,2,24,50,0.48
fixed_N2,PickPlaceDrawerToCounter,resetfinal_t0.2,0,2,21,50,0.42
fixed_N2,PickPlaceSinkToCounter,warmreset_t0.2,0.2,2,50,50,1.0
fixed_N2,PickPlaceSinkToCounter,resetfinal_t0.2,0,2,50,50,1.0
fixed_N2,PickPlaceToasterToCounter,warmreset_t0.2,0.2,2,32,50,0.64
fixed_N2,PickPlaceToasterToCounter,resetfinal_t0.2,0,2,34,50,0.68
fixed_N2,SlideDishwasherRack,warmreset_t0.2,0.2,2,44,50,0.88
fixed_N2,SlideDishwasherRack,resetfinal_t0.2,0,2,46,50,0.92
fixed_N2,TurnOnSinkFaucet,warmreset_t0.2,0.2,2,47,50,0.94
fixed_N2,TurnOnSinkFaucet,resetfinal_t0.2,0,2,44,50,0.88
fixed_T0,CloseBlenderLid,resetfinal_t0.1,0,1,2,50,0.04
fixed_T0,CloseBlenderLid,resetfinal_t0.2,0,2,17,50,0.34
fixed_T0,CloseBlenderLid,resetfinal_t0.3,0,3,16,50,0.32
fixed_T0,CloseFridge,resetfinal_t0.1,0,1,12,50,0.24
fixed_T0,CloseFridge,resetfinal_t0.2,0,2,38,50,0.76
fixed_T0,CloseFridge,resetfinal_t0.3,0,3,42,50,0.84
fixed_T0,OpenCabinet,resetfinal_t0.1,0,1,27,50,0.54
fixed_T0,OpenCabinet,resetfinal_t0.2,0,2,43,50,0.86
fixed_T0,OpenCabinet,resetfinal_t0.3,0,3,39,50,0.78
fixed_T0,PickPlaceCounterToCabinet,resetfinal_t0.1,0,1,31,50,0.62
fixed_T0,PickPlaceCounterToCabinet,resetfinal_t0.2,0,2,32,50,0.64
fixed_T0,PickPlaceCounterToCabinet,resetfinal_t0.3,0,3,30,50,0.6
fixed_T0,PickPlaceCounterToStove,resetfinal_t0.1,0,1,50,50,1.0
fixed_T0,PickPlaceCounterToStove,resetfinal_t0.2,0,2,36,50,0.72
fixed_T0,PickPlaceCounterToStove,resetfinal_t0.3,0,3,21,50,0.42
fixed_T0,PickPlaceDrawerToCounter,resetfinal_t0.1,0,1,12,50,0.24
fixed_T0,PickPlaceDrawerToCounter,resetfinal_t0.2,0,2,21,50,0.42
fixed_T0,PickPlaceDrawerToCounter,resetfinal_t0.3,0,3,23,50,0.46
fixed_T0,PickPlaceSinkToCounter,resetfinal_t0.1,0,1,40,50,0.8
fixed_T0,PickPlaceSinkToCounter,resetfinal_t0.2,0,2,50,50,1.0
fixed_T0,PickPlaceSinkToCounter,resetfinal_t0.3,0,3,49,50,0.98
fixed_T0,PickPlaceToasterToCounter,resetfinal_t0.1,0,1,0,50,0.0
fixed_T0,PickPlaceToasterToCounter,resetfinal_t0.2,0,2,34,50,0.68
fixed_T0,PickPlaceToasterToCounter,resetfinal_t0.3,0,3,18,50,0.36
