stage,keybuilder,yaml_id,v0,v1,rs,normalizer,n,success_rate
baseline,cp1_spatial_pool_16,cp1_spatial_pool_16__grid_vision_0@12_vision_1@87,0.1200,0.8700,0.0000,zscore,100,0.5200
baseline,cp1_spatial_pool_16,cp1_spatial_pool_16__grid_vision_0@50_vision_1@50,0.5000,0.5000,0.0000,zscore,100,0.5200
baseline,cp1_spatial_pool_16,cp1_spatial_pool_16__grid_vision_0@62_vision_1@37,0.6200,0.3700,0.0000,zscore,100,0.5100
baseline,cp1_mean_pool,cp1_mean_pool__grid3_vision_0@25_vision_1@37_robot_state@37,0.2500,0.3700,0.3700,zscore,100,0.4800
r1,cp1_mean_pool,cp1_mean_pool__grid3_vision_0@18_vision_1@31_robot_state@50,0.1800,0.3100,0.5000,zscore,100,0.4800
baseline,cp1_spatial_pool_16,cp1_spatial_pool_16__grid_vision_0@87_robot_state@12,0.8700,0.0000,0.1200,zscore,100,0.4700
baseline,cp1_spatial_pool_64,cp1_spatial_pool_64__grid3_vision_0@12_vision_1@50_robot_state@37,0.1200,0.5000,0.3700,zscore,100,0.4700
baseline,cp1_max_pool,cp1_max_pool__grid_vision_0@37_vision_1@62,0.3700,0.6200,0.0000,zscore,100,0.4600
baseline,cp1_max_pool,cp1_max_pool__grid_vision_0@75_robot_state@25,0.7500,0.0000,0.2500,zscore,100,0.4600
baseline,cp1_mean_pool,cp1_mean_pool__grid_vision_0@12_vision_1@87,0.1200,0.8700,0.0000,zscore,100,0.4600
r1,cp1_mean_pool,cp1_mean_pool__grid3_vision_0@12_vision_1@31_robot_state@56,0.1200,0.3100,0.5600,zscore,100,0.4600
r1,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31,0.2500,0.4300,0.3100,zscore,100,0.4600
baseline,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@37_vision_1@12_robot_state@50,0.3700,0.1200,0.5000,zscore,100,0.4500
baseline,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@50_vision_1@12_robot_state@37,0.5000,0.1200,0.3700,zscore,100,0.4500
