stage,keybuilder,yaml_id,v0,v1,rs,normalizer,n,success_rate
r1,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@31_vision_1@38_robot_state@31,0.3100,0.3800,0.3100,zscore,100,0.7400
r1,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@6_vision_1@44_robot_state@50,0.0600,0.4400,0.5000,zscore,100,0.7400
r1,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@44,0.0600,0.5000,0.4400,zscore,100,0.7400
r2,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@6_vision_1@44_robot_state@50,0.0600,0.4400,0.5000,zscore,100,0.7400
r2,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@44,0.0600,0.5000,0.4400,zscore,100,0.7400
r3,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@6_vision_1@44_robot_state@50,0.0600,0.4400,0.5000,zscore,100,0.7400
r3,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@44,0.0600,0.5000,0.4400,zscore,100,0.7400
r1,cp1_max_pool,cp1_max_pool__grid3_vision_0@31_vision_1@25_robot_state@44,0.3100,0.2500,0.4400,zscore,100,0.7300
r1,cp1_max_pool,cp1_max_pool__grid3_vision_0@6_vision_1@25_robot_state@69,0.0600,0.2500,0.6900,zscore,100,0.7300
r1,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@19_vision_1@31_robot_state@50,0.1900,0.3100,0.5000,zscore,100,0.7300
r1,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@25_vision_1@44_robot_state@31,0.2500,0.4400,0.3100,zscore,100,0.7300
r1,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@31_vision_1@44_robot_state@25,0.3100,0.4400,0.2500,zscore,100,0.7300
r2,cp1_max_pool,cp1_max_pool__grid3_vision_0@31_vision_1@25_robot_state@44,0.3100,0.2500,0.4400,zscore,100,0.7300
r2,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@19_vision_1@31_robot_state@50,0.1900,0.3100,0.5000,zscore,100,0.7300
r2,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@25_vision_1@44_robot_state@31,0.2500,0.4400,0.3100,zscore,100,0.7300
r2,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@31_vision_1@38_robot_state@31,0.3100,0.3800,0.3100,zscore,100,0.7300
r2,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@31_vision_1@44_robot_state@25,0.3100,0.4400,0.2500,zscore,100,0.7300
r3,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@19_vision_1@31_robot_state@50,0.1900,0.3100,0.5000,zscore,100,0.7300
r3,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@25_vision_1@44_robot_state@31,0.2500,0.4400,0.3100,zscore,100,0.7300
r3,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@31_vision_1@38_robot_state@31,0.3100,0.3800,0.3100,zscore,100,0.7300
r3,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@31_vision_1@44_robot_state@25,0.3100,0.4400,0.2500,zscore,100,0.7300
baseline,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@12_vision_1@37_robot_state@50,0.1200,0.3700,0.5000,zscore,100,0.7200
baseline,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@25_vision_1@37_robot_state@37,0.2500,0.3700,0.3700,zscore,100,0.7200
r1,cp1_max_pool,cp1_max_pool__grid3_vision_0@6_vision_1@38_robot_state@56,0.0600,0.3800,0.5600,zscore,100,0.7200
r1,cp1_max_pool,cp1_max_pool__grid3_vision_0@6_vision_1@44_robot_state@50,0.0600,0.4400,0.5000,zscore,100,0.7200
r1,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@12_vision_1@38_robot_state@50,0.1200,0.3800,0.5000,zscore,100,0.7200
r1,cp1_spatial_pool_16,cp1_spatial_pool_16__grid3_vision_0@19_vision_1@44_robot_state@38,0.1900,0.4400,0.3800,zscore,100,0.7200
